Running in CPU mode	
Epoch 1.64 / 50, i = 229 / 17800, loss = 2.291462	
Epoch 1.65 / 50, i = 230 / 17800, loss = 2.309125	
Epoch 1.65 / 50, i = 231 / 17800, loss = 2.297384	
Epoch 1.65 / 50, i = 232 / 17800, loss = 2.309011	
Epoch 1.65 / 50, i = 233 / 17800, loss = 2.273889	
Epoch 1.66 / 50, i = 234 / 17800, loss = 2.298623	
Epoch 1.66 / 50, i = 235 / 17800, loss = 2.287631	
Epoch 1.66 / 50, i = 236 / 17800, loss = 2.286322	
Epoch 1.67 / 50, i = 237 / 17800, loss = 2.282381	
Epoch 1.67 / 50, i = 238 / 17800, loss = 2.268767	
Epoch 1.67 / 50, i = 239 / 17800, loss = 2.260653	
Epoch 1.67 / 50, i = 240 / 17800, loss = 2.310990	
Epoch 1.68 / 50, i = 241 / 17800, loss = 2.273609	
Epoch 1.68 / 50, i = 242 / 17800, loss = 2.275763	
Epoch 1.68 / 50, i = 243 / 17800, loss = 2.271605	
Epoch 1.69 / 50, i = 244 / 17800, loss = 2.243971	
Epoch 1.69 / 50, i = 245 / 17800, loss = 2.319695	
Epoch 1.69 / 50, i = 246 / 17800, loss = 2.271180	
Epoch 1.69 / 50, i = 247 / 17800, loss = 2.292286	
Epoch 1.70 / 50, i = 248 / 17800, loss = 2.272204	
Epoch 1.70 / 50, i = 249 / 17800, loss = 2.299638	
Epoch 1.70 / 50, i = 250 / 17800, loss = 2.290487	
Epoch 1.71 / 50, i = 251 / 17800, loss = 2.343016	
Epoch 1.71 / 50, i = 252 / 17800, loss = 2.314632	
Epoch 1.71 / 50, i = 253 / 17800, loss = 2.295651	
Epoch 1.71 / 50, i = 254 / 17800, loss = 2.275493	
Epoch 1.72 / 50, i = 255 / 17800, loss = 2.298346	
Epoch 1.72 / 50, i = 256 / 17800, loss = 2.302668	
Epoch 1.72 / 50, i = 257 / 17800, loss = 2.266194	
Epoch 1.72 / 50, i = 258 / 17800, loss = 2.286499	
